Gene_Name,test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
UNKNOWN,XLOC_000002,XLOC_000002,-,chr1:4850629-4851438,MockIFN,T3D-IFN,OK,0.109997,0.940067,3.0953,2.7748,0.01335,0.0427744,yes
UNKNOWN,XLOC_000042,XLOC_000042,-,chr1:18520920-18524754,MockIFN,T3D-IFN,OK,0.474074,0.262558,-0.852475,-2.3346,0.00185,0.00812948,yes
UNKNOWN,XLOC_000086,XLOC_000086,-,chr1:36558461-36560264,MockIFN,T3D-IFN,OK,0.561071,0.209218,-1.42318,-2.41314,0.00345,0.0138575,yes
UNKNOWN,XLOC_000103,XLOC_000103,-,chr1:39761355-39763273,MockIFN,T3D-IFN,OK,0.789421,0.38379,-1.04048,-2.40481,0.00115,0.00542091,yes
UNKNOWN,XLOC_000154,XLOC_000154,-,chr1:55882024-55917540,MockIFN,T3D-IFN,OK,0.663449,0.368141,-0.849727,-2.18677,0.00315,0.0128436,yes
UNKNOWN,XLOC_000197,XLOC_000197,-,chr1:60807890-60858450,MockIFN,T3D-IFN,OK,0.45656,1.01567,1.15356,2.47135,0.0027,0.0112549,yes
UNKNOWN,XLOC_000214,XLOC_000214,-,chr1:64302793-64303083,MockIFN,T3D-IFN,OK,0,1.2138,inf,#NAME?,0.0001,0.00062999,yes
UNKNOWN,XLOC_000243,XLOC_000243,-,chr1:72720067-72720401,MockIFN,T3D-IFN,OK,0,1.07573,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000299,XLOC_000299,-,chr1:81746721-81799075,MockIFN,T3D-IFN,OK,0.497039,0.104857,-2.24494,-2.99512,0.002,0.00869986,yes
UNKNOWN,XLOC_000355,XLOC_000355,-,chr1:87607623-87610164,MockIFN,T3D-IFN,OK,1.08449,1.82178,0.748326,2.62495,0.00015,0.000903447,yes
UNKNOWN,XLOC_000361,XLOC_000361,-,chr1:87801290-87803111,MockIFN,T3D-IFN,OK,0.0643278,0.266946,2.05303,2.33479,0.0057,0.0212088,yes
UNKNOWN,XLOC_000381,XLOC_000381,-,chr1:90884439-90887337,MockIFN,T3D-IFN,OK,0.795599,2.33052,1.55054,2.38161,0.0038,0.0150428,yes
UNKNOWN,XLOC_000457,XLOC_000457,-,chr1:107693269-107693591,MockIFN,T3D-IFN,OK,0,0.987489,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000480,XLOC_000480,-,chr1:128770841-128771372,MockIFN,T3D-IFN,OK,0,0.250242,inf,#NAME?,0.00035,0.00191368,yes
UNKNOWN,XLOC_000500,XLOC_000500,-,chr1:131946061-131947081,MockIFN,T3D-IFN,OK,0,0.200281,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000504,XLOC_000504,-,chr1:132156155-132156683,MockIFN,T3D-IFN,OK,0.314148,0,#NAME?,#NAME?,0.00015,0.000903447,yes
UNKNOWN,XLOC_000509,XLOC_000509,-,chr1:132341882-132351335,MockIFN,T3D-IFN,OK,1.27318,2.66406,1.06518,3.13505,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000516,XLOC_000516,-,chr1:133142526-133146532,MockIFN,T3D-IFN,OK,0,0.504502,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000517,XLOC_000517,-,chr1:133142526-133146532,MockIFN,T3D-IFN,OK,0,0.711019,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000523,XLOC_000523,-,chr1:133977181-133982368,MockIFN,T3D-IFN,OK,0.999249,0.279333,-1.83886,-4.85443,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000565,XLOC_000565,-,chr1:139185335-139186741,MockIFN,T3D-IFN,OK,0,0.378705,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000571,XLOC_000571,-,chr1:140226951-140228571,MockIFN,T3D-IFN,OK,0.29319,0.65177,1.15253,2.07859,0.0079,0.0278424,yes
UNKNOWN,XLOC_000580,XLOC_000580,-,chr1:147372910-147375052,MockIFN,T3D-IFN,OK,0.68023,0,#NAME?,#NAME?,0.0003,0.00167472,yes
UNKNOWN,XLOC_000609,XLOC_000609,-,chr1:155531285-155535349,MockIFN,T3D-IFN,OK,0.393782,0.242353,-0.700286,-1.82892,0.01345,0.0430414,yes
UNKNOWN,XLOC_000676,XLOC_000676,-,chr1:169554533-169594272,MockIFN,T3D-IFN,OK,0.774603,4.51223,2.54231,5.76707,5.00E-05,0.000330779,yes
