Gene_Name,test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
1-Mar,XLOC_001860,XLOC_001860,NM_001290273,chr1:184786766-184811300,MockIFN,T1L-IFN,OK,0.306376,0.0731006,-2.06735,-2.14335,0.01395,0.0328653,yes
11-Sep,XLOC_021471,XLOC_021471,NM_001009818,chr5:93093456-93174958,MockIFN,T1L-IFN,OK,137.402,77.0875,-0.833839,-4.4172,5.00E-05,0.00020697,yes
15-Sep,XLOC_018231,XLOC_018231,NM_053102,chr3:144570426-144597676,MockIFN,T1L-IFN,OK,235.851,370.521,0.651682,3.44782,5.00E-05,0.00020697,yes
0610007P14Rik,XLOC_006646,XLOC_006646,NM_021446,chr12:85815454-86053760,MockIFN,T1L-IFN,OK,48.7568,24.5245,-0.991378,-4.19891,5.00E-05,0.00020697,yes
0610009B22Rik,XLOC_004742,XLOC_004742,NM_025319,chr11:51685384-51688634,MockIFN,T1L-IFN,OK,13.4793,7.3443,-0.876048,-3.5735,5.00E-05,0.00020697,yes
0610009L18Rik,XLOC_004467,XLOC_004467,NR_038126,chr11:120348677-120351192,MockIFN,T1L-IFN,OK,1.23084,10.491,3.09144,5.72888,5.00E-05,0.00020697,yes
0610009O20Rik,XLOC_013266,XLOC_013266,NM_024179,chr18:38238404-38262629,MockIFN,T1L-IFN,OK,11.9819,16.6562,0.475204,2.25077,0.0011,0.00349734,yes
0610010F05Rik,XLOC_004622,XLOC_004622,NM_027860,chr11:23564929-23633643,MockIFN,T1L-IFN,OK,9.73178,7.39189,-0.39676,-2.01986,0.00405,0.0110714,yes
0610011F06Rik,XLOC_011765,XLOC_011765,NM_026686,chr17:25875419-25877163,MockIFN,T1L-IFN,OK,24.5207,31.2628,0.350449,1.64501,0.0195,0.0440323,yes
0610037L13Rik,XLOC_019521,XLOC_019521,NM_028754,chr4:107889819-107898201,MockIFN,T1L-IFN,OK,9.06819,14.7047,0.697389,3.13007,5.00E-05,0.00020697,yes
1110001J03Rik,XLOC_023070,XLOC_023070,NM_025363,chr6:38534814-38539528,MockIFN,T1L-IFN,OK,215.092,280.503,0.383065,1.93255,0.0065,0.0167094,yes
1110004E09Rik,XLOC_011472,XLOC_011472,NM_026502,chr16:90925810-90934849,MockIFN,T1L-IFN,OK,32.226,23.2445,-0.471333,-2.37739,0.0004,0.00141085,yes
1110012L19Rik,XLOC_030737,XLOC_030737,NM_026787,chrX:70385912-70389416,MockIFN,T1L-IFN,OK,3.60855,2.445,-0.561583,-2.01733,0.0047,0.0125034,yes
1110032A03Rik,XLOC_030021,XLOC_030021,NM_023483,chr9:50762827-50768161,MockIFN,T1L-IFN,OK,1.53091,4.22775,1.4655,5.64439,5.00E-05,0.00020697,yes
